codigo,id_categoria,id_subcategoria,Nome,Quantidade,Descricao,Codigo Amarração,image_url,Vlr Bruto,Vlr Unitario
4799,6,23,FRIG FRANCESA NEW FORT FLON 26,6,6 peças,5231,,"256,12","42,69"
5221,6,23,FRIG NEW FORT FLON 18 - TPA VIDRO,1,"- 0,90 L",,,"44,65","44,65"
4790,6,23,FRIG NEW FORT FLON 18 - TPA VIDRO,6,6 peças,5221,,"251,84","41,97"
5222,6,23,FRIG NEW FORT FLON 20 - TPA VIDRO,1,"- 1,15 L",,,"51,45","51,45"
4791,6,23,FRIG NEW FORT FLON 20 - TPA VIDRO,6,6 peças,5222,,"290,19","48,37"
5223,6,23,FRIG NEW FORT FLON 22 - TPA VIDRO,1,"- 1,65 L",,,"58,37","58,37"
4792,6,23,FRIG NEW FORT FLON 22 - TPA VIDRO,6,6 peças,5223,,"329,20","54,87"
5224,6,23,FRIG NEW FORT FLON 24 - TPA VIDRO,1,"- 1,95 L",,,"65,62","65,62"
4793,6,23,FRIG NEW FORT FLON 24 - TPA VIDRO,6,6 peças,5224,,"370,08","61,68"
5217,6,23,FRIG NEW FORT FLON S/ TPA 18,1,"- 0,90 L",,,"29,19","29,19"
4786,6,23,FRIG NEW FORT FLON S/ TPA 18,6,6 peças,5217,,"164,61","27,44"
5218,6,23,FRIG NEW FORT FLON S/ TPA 20,1,"- 1,15 L",,,"34,70","34,70"
4787,6,23,FRIG NEW FORT FLON S/ TPA 20,6,6 peças,5218,,"195,73","32,62"
5219,6,23,FRIG NEW FORT FLON S/ TPA 22,1,"- 1,65 L",,,"40,58","40,58"
4788,6,23,FRIG NEW FORT FLON S/ TPA 22,6,6 peças,5219,,"228,88","38,15"
5220,6,23,FRIG NEW FORT FLON S/ TPA 24,1,"- 1,95 L",,,"45,51","45,51"
4789,6,23,FRIG NEW FORT FLON S/ TPA 24,6,6 peças,5220,,"256,65","42,78"
5079,6,23,BISTEQUEIRA CANELADA QUADRADA FORT FLON ,1,"- 28,5 X 26,5 X 2,4 CM",,,"99,44","99,44"
4801,6,23,BISTEQUEIRA CANELADA QUADRADA FORT FLON ,6,6 peças,5079,,"560,84","93,47"
5103,6,23,CREPEIRA / PANQUEQUEIRA FORT FLON 20,1,"- 0,60 L",,,"41,32","41,32"
4804,6,23,CREPEIRA / PANQUEQUEIRA FORT FLON 20,6,6 peças,5103,,"233,06","38,84"
5076,6,23,CREPEIRA / PANQUEQUEIRA FORT FLON 22,1,"- 0,70 L",,,"48,57","48,57"
4800,6,23,CREPEIRA / PANQUEQUEIRA FORT FLON 22,6,6 peças,5076,,"273,95","45,66"
5040,6,23,OMELETEIRA FORT FLON 18,1,"- 0,70 L",,,"61,77","61,77"
5101,6,23,OMELETEIRA FORT FLON 20,1,"- 1,10 L",,,"74,19","74,19"
4802,6,23,OMELETEIRA FORT FLON 20,6,6 peças,5101,,"418,45","69,74"
5102,6,23,OMELETEIRA FORT FLON 22,1,"- 1,50 L",,,"83,14","83,14"
4803,6,23,OMELETEIRA FORT FLON 22,6,6 peças,5102,,"468,89","78,15"
5120,6,24,FRIG SUPER FORT FLON GRAFITE S/ TPA 20 ,1,"- 1,80 L",,,"60,70","60,70"
5121,6,24,FRIG SUPER FORT FLON GRAFITE S/ TPA 22 ,1,"- 2,50 L",,,"75,38","75,38"
5122,6,24,FRIG SUPER FORT FLON GRAFITE S/ TPA 24 ,1,"- 3,00 L",,,"89,89","89,89"
5123,6,24,FRIG SUPER FORT FLON GRAFITE C/ TPA VIDRO 20,1,"- 1,80 L ",,,"74,73","74,73"
5124,6,24,FRIG SUPER FORT FLON GRAFITE C/ TPA VIDRO 22,1,"- 2,50 L ",,,"89,28","89,28"
5125,6,24,FRIG SUPER FORT FLON GRAFITE C/ TPA VIDRO 24,1,"- 3,00 L ",,,"106,57","106,57"
1024,6,25,FRIG SUPER FORTE POLIDA S/ TPA 20,1,"- 1,60 L",,,"48,45","48,45"
1025,6,25,FRIG SUPER FORTE POLIDA S/ TPA 22,1,"- 1,90 L",,,"59,87","59,87"
1028,6,25,FRIG SUPER FORTE POLIDA S/ TPA 24,1,"- 2,70 L",,,"71,11","71,11"
1026,6,25,FRIG SUPER FORTE POLIDA C/ TPA 20,1,"- 1,60 L",,,"65,57","65,57"
1027,6,25,FRIG SUPER FORTE POLIDA C/ TPA 22,1,"- 1,90 L",,,"78,26","78,26"
1029,6,25,FRIG SUPER FORTE POLIDA C/ TPA 24,1,"- 2,70 L",,,"92,57","92,57"
2023,6,26,FRIG EXTRA FORTE POLIDA S/ TPA 20,1,"- 1,60 L",,,"33,26","33,26"
2024,6,26,FRIG EXTRA FORTE POLIDA S/ TPA 22,1,"- 1,90 L",,,"37,78","37,78"
2025,6,26,FRIG EXTRA FORTE POLIDA S/ TPA 24,1,"- 2,70 L",,,"44,24","44,24"
2026,6,26,FRIG EXTRA FORTE POLIDA C/ TPA 20,1,"- 1,60 L",,,"49,42","49,42"
